Neighborhood names,Ward,Number of listings for rent (late July 2025),Median monthly rent (late July 2025),Number of listings for sale (late July 2025),Median for sale price (late July 2025),Median for sale monthly payment with no money down and any credit score (late July 2025),"Total rental listings affordable at 60% AMI based on 2025 ARO rent limit for each number of bedrooms ($1260 for studio, $1350 for 1br, $1620 for 2br, $1870 for 3br, $2086 for 4br, and $2302 for 5br) (late July 2025)","Total for sale listings affordable at 60% AMI based on 2025 ARO rent limit for each number of bedrooms ($1260 for studio, $1350 for 1br, $1620 for 2br, $1870 for 3br, $2086 for 4br, and $2302 for 5br) (late July 2025)","Total rental and for sale listings affordable at 60% AMI based on 2025 ARO rent limit for each number of bedrooms ($1260 for studio, $1350 for 1br, $1620 for 2br, $1870 for 3br, $2086 for 4br, and $2302 for 5br) (late July 2025)","% of rental and for sale listings affordable at 60% AMI based on 2025 ARO rent limit for each number of bedrooms ($1260 for studio, $1350 for 1br, $1620 for 2br, $1870 for 3br, $2086 for 4br, and $2302 for 5br) (late July 2025)",Affordability rank - % of rental and for sale listings affordable at 60% of AMI based on 2025 ARO rent limit for each number of bedrooms (late July 2025),Number of listings for rent (late July 2026),Median monthly rent (late July 2026),Number of listings for sale (late July 2026),Median for sale price (late July 2026),Median for sale monthly payment with no money down and any credit score (late July 2026),"Total rental listings affordable at 60% AMI based on 2026 ARO rent limit for each number of bedrooms ($1276 for studio, $1367 for 1br, $1641 for 2br, $1896 for 3br, $2115 for 4br, and $2333 for 5br) (late July 2026)","Total for sale listings affordable at 60% AMI based on 2026 ARO rent limit for each number of bedrooms ($1276 for studio, $1367 for 1br, $1641 for 2br, $1896 for 3br, $2115 for 4br, and $2333 for 5br) (late July 2026)","Total rental and for sale listings affordable at 60% AMI based on 2026 ARO rent limit for each number of bedrooms ($1276 for studio, $1367 for 1br, $1641 for 2br, $1896 for 3br, $2115 for 4br, and $2333 for 5br) (late July 2026)","% of rental and for sale listings affordable at 60% AMI based on 2026 ARO rent limit for each number of bedrooms ($1276 for studio, $1367 for 1br, $1641 for 2br, $1896 for 3br, $2115 for 4br, and $2333 for 5br) (late July 2026)",Affordability rank - % of rental and for sale listings affordable at 60% of AMI based on 2026 ARO rent limit for each number of bedrooms (late July 2026),% change in listings for rent (July 2025 to July 2026),% change in median monthly rent (July 2025 to July 2026),% change in number of listings for sale (July 2025 to July 2026),% change in median for sale price (July 2025 to July 2026),% change in median for sale monthly payment with no money down and any credit score (July 2025 to July 2026),"% change in number of rental listings affordable at 60% AMI based on each year's ARO rent limit for each number of bedrooms (2025 - $1260 for studio, $1350 for 1br, $1620 for 2br, $1870 for 3br, $2086 for 4br, and $2302 for 5br. 2026 - $1276 for studio, $1367 for 1br, $1641 for 2br, $1896 for 3br, $2115 for 4br, and $2333 for 5br)","% change in number of for sale listings affordable at 60% AMI based on each year's ARO rent limit for each number of bedrooms (2025 - $1260 for studio, $1350 for 1br, $1620 for 2br, $1870 for 3br, $2086 for 4br, and $2302 for 5br. 2026 - $1276 for studio, $1367 for 1br, $1641 for 2br, $1896 for 3br, $2115 for 4br, and $2333 for 5br)","% change in number of rental and for sale listings affordable at 60% AMI based on each year's ARO rent limit for each number of bedrooms (2025 - $1260 for studio, $1350 for 1br, $1620 for 2br, $1870 for 3br, $2086 for 4br, and $2302 for 5br. 2026 - $1276 for studio, $1367 for 1br, $1641 for 2br, $1896 for 3br, $2115 for 4br, and $2333 for 5br)",Change in affordability rank for % of rental and for sale listings affordable at 60% AMI based on each year's ARO rent limit for each number of bedrooms (July 2025 to July 2026)
"Wicker Park, Logan Square",1,486,2500,108,"700,000",6650,4,0,4,0.70%,48,442,2795,92,"770,000",7295,5,1,6,1.16%,46,-9.05%,11.80%,-14.81%,10.00%,9.70%,25.00%,#DIV/0!,50.00%,2
"Gold Coast, Streeterville",2,906,2795,382,"580,000",6860,5,0,5,0.39%,49,1209,2876,313,"610,000",7006,2,0,2,0.13%,49,33.44%,2.90%,-18.06%,5.17%,2.13%,-60.00%,#DIV/0!,-60.00%,0
"South Loop, Bronzeville",3,523,2595,219,"389,900",4020,56,8,64,8.83%,36,485,2600,186,"399,900",4135,61,5,66,10.23%,28,-7.27%,0.19%,-15.07%,2.56%,2.86%,8.93%,-37.50%,3.13%,8
"Printer's Row, Kenwood, Prairie Shores",4,881,1892,173,"380,000",4100,178,4,182,17.45%,26,960,1870,131,"340,000",3711,204,8,212,19.68%,21,8.97%,-1.16%,-24.28%,-10.53%,-9.49%,14.61%,100.00%,16.48%,5
"Hyde Park, Jackson Park Highlands",5,832,1925,136,"197,000",2620,184,24,208,21.64%,23,890,2023,124,"216,000",2705,164,17,181,18.01%,24,6.97%,5.09%,-8.82%,9.64%,3.24%,-10.87%,-29.17%,-12.98%,-1
"Chatham, Greater Grand Crossing",6,164,1500,137,"255,000",2330,119,42,161,59.85%,6,389,1550,159,"255,900",2277,258,55,313,62.35%,5,137.20%,3.33%,16.06%,0.35%,-2.27%,116.81%,30.95%,94.41%,1
"South Shore, South Chicago, Calumet Heights",7,284,1400,136,"195,000",1790,227,72,299,76.08%,2,373,1405,162,"199,450",1658,252,86,338,67.74%,2,31.34%,0.36%,19.12%,2.28%,-7.37%,11.01%,19.44%,13.04%,0
"Avalon Park, East Chatham",8,156,1450,160,"240,000",2200,100,63,163,54.33%,10,310,1400,123,"245,000",1998,203,60,263,63.07%,4,98.72%,-3.45%,-23.13%,2.08%,-9.18%,103.00%,-4.76%,61.35%,6
"Roseland, Pullman",9,87,1500,156,"195,000",1790,56,82,138,61.61%,5,154,1573,158,"176,350",1472,85,94,179,61.51%,7,77.01%,4.87%,1.28%,-9.56%,-17.77%,51.79%,14.63%,29.71%,-2
"Hegewisch, East Side, South Deering",10,64,1425,107,"239,900",2200,50,36,86,55.84%,9,93,1420,98,"240,650",2040,67,37,104,61.54%,6,45.31%,-0.35%,-8.41%,0.31%,-7.27%,34.00%,2.78%,20.93%,3
"Bridgeport, Chinatown, Armour Square",11,87,1750,63,"498,000",4570,39,0,39,29.55%,19,124,1800,58,"489,000",4483,39,0,39,23.78%,20,42.53%,2.86%,-7.94%,-1.81%,-1.90%,0.00%,#DIV/0!,0.00%,-1
"McKinley Park, Brighton Park",12,54,1475,39,"388,000",3700,36,3,39,50.65%,12,55,1500,46,"362,000",3426,38,4,42,46.15%,13,1.85%,1.69%,17.95%,-6.70%,-7.41%,5.56%,33.33%,7.69%,-1
"Midway, Clearing",13,46,1625,43,"380,000",3500,26,1,27,31.40%,17,33,1850,45,"379,100",3495,12,2,14,18.67%,22,-28.26%,13.85%,4.65%,-0.24%,-0.14%,-53.85%,100.00%,-48.15%,-5
"Gage Park, Archer Heights",14,30,1325,26,"299,500",2740,25,4,29,58.00%,7,28,1500,32,"300,000",2747,17,12,29,51.79%,11,-6.67%,13.21%,23.08%,0.17%,0.26%,-32.00%,200.00%,0.00%,-4
