Neighborhood names,Ward,"Zillow link (boundary is text after ""customRegionId""%3A"""")",Number of listings for rent,Median monthly rent,"Number of listings for rent that are affordable at 100% of 2023 AMI (monthly rent up to $1862, based on 30% of $74,474)","Number of listings for rent that are affordable at 60% of 2023 AMI (monthly rent up to $1117, based on 60% of 30% of $74,474)",Number of Rental Listings: Studio,Number of Rental Listings affordable at 60% AMI based on 2025 ARO rent limit for this number of bedrooms: Studio (rent <=$1260),Number of Rental Listings: 1 bedroom,Number of Rental Listings affordable at 60% AMI based on 2025 ARO rent limit for this number of bedrooms: 1 bedroom (rent <=$1350),Number of Rental Listings: 2 bedroom,Number of Rental Listings affordable at 60% AMI based on 2025 ARO rent limit for this number of bedrooms: 2 bedroom (rent <=$1620),Number of Rental Listings: 3 bedroom,Number of Rental Listings affordable at 60% AMI based on 2025 ARO rent limit for this number of bedrooms: 3 bedroom (rent <=$1870),Number of Rental Listings: 4 bedroom,Number of Rental Listings affordable at 60% AMI based on 2025 ARO rent limit for this number of bedrooms: 4 bedroom (rent <=$2086),Number of Rental Listings: 5 bedroom,Number of Rental Listings affordable at 60% AMI based on 2025 ARO rent limit for this number of bedrooms: 5 bedroom (rent <=$2302),Number of listings for sale,Median for sale price,Median for sale monthly payment with no money down and any credit score,"Number of listings for sale that are affordable at 100% of 2023 AMI (monthly payment up to $1862, based on 30% of $74,474)","Number of listings for sale that are affordable at 60% of 2023 AMI (monthly payment up to $1117, based on 60% of 30% of $74,474)",Number of For Sale Listings: Studio,Number of For Sale Listings affordable at 60% AMI based on 2025 ARO rent limit for this number of bedrooms: Studio (monthly payment <=$1260),Number of For Sale Listings: 1 bedroom,Number of For Sale Listings affordable at 60% AMI based on 2025 ARO rent limit for this number of bedrooms: 1 bedroom (monthly payment <=$1350),Number of For Sale Listings: 2 bedroom,Number of For Sale Listings affordable at 60% AMI based on 2025 ARO rent limit for this number of bedrooms: 2 bedroom (monthly payment <=$1620),Number of For Sale Listings: 3 bedroom,Number of For Sale Listings affordable at 60% AMI based on 2025 ARO rent limit for this number of bedrooms: 3 bedroom (monthly payment <=$1870),Number of For Sale Listings: 4 bedroom,Number of For Sale Listings affordable at 60% AMI based on 2025 ARO rent limit for this number of bedrooms: 4 bedroom (monthly payment <=$2086),Number of For Sale Listings: 5 bedroom,Number of For Sale Listings affordable at 60% AMI based on 2025 ARO rent limit for this number of bedrooms: 5 bedroom (monthly payment <=$2302),"Total rental listings affordable at 60% AMI based on 2025 ARO rent limit for each number of bedrooms ($1260 for studio, $1350 for 1br, $1620 for 2br, $1870 for 3br, $2086 for 4br, and $2302 for 5br)",Total rental listings with 0-5 bedrooms,"% of rental listings affordable at 60% AMI based on 2025 ARO rent limit for each number of bedrooms ($1260 for studio, $1350 for 1br, $1620 for 2br, $1870 for 3br, $2086 for 4br, and $2302 for 5br)","% of listings for rent that are affordable at 100% of 2023 AMI (monthly rent up to $1862, based on 30% of $74,474)","% of listings for rent that are affordable at 60% of 2023 AMI (monthly rent up to $1117, based on 60% of 30% of $74,474)","Total for sale listings affordable at 60% AMI based on 2025 ARO rent limit for each number of bedrooms ($1260 for studio, $1350 for 1br, $1620 for 2br, $1870 for 3br, $2086 for 4br, and $2302 for 5br)",Total for sale listings with 0-5 bedrooms,"% of for sale listings affordable at 60% AMI based on 2025 ARO rent limit for each number of bedrooms ($1260 for studio, $1350 for 1br, $1620 for 2br, $1870 for 3br, $2086 for 4br, and $2302 for 5br)","% of listings for sale that are affordable at 100% of 2023 AMI (monthly rent up to $1862, based on 30% of $74,474)","% of listings for sale that are affordable at 60% of 2023 AMI (monthly rent up to $1117, based on 60% of 30% of $74,474)","Total rental and for sale listings affordable at 60% AMI based on 2025 ARO rent limit for each number of bedrooms ($1260 for studio, $1350 for 1br, $1620 for 2br, $1870 for 3br, $2086 for 4br, and $2302 for 5br)",Total rental and for sale listings with 0-5 bedrooms,"% of rental and for sale listings affordable at 60% AMI based on 2025 ARO rent limit for each number of bedrooms ($1260 for studio, $1350 for 1br, $1620 for 2br, $1870 for 3br, $2086 for 4br, and $2302 for 5br)","% of listings for rent and for sale that are affordable at 100% of 2023 AMI (monthly rent up to $1862, based on 30% of $74,474)","% of listings for rent and for sale that are affordable at 60% of 2023 AMI (monthly rent up to $1117, based on 60% of 30% of $74,474)",Additional metrics:,Rental average bedroom count,Rental average bedroom count in units affordable at 60% AMI based on 2025 ARO rent limit for each unit size,Difference between total rental units listed and number of 0+1+2+3+4+5 br units,For sale average bedroom count,For sale average bedroom count in units affordable at 60% AMI based on 2025 ARO rent limit for each unit size,Difference between total for sale units listed and number of 0+1+2+3+4+5 br units,Zillow ratio of rental listings to total (rental plus for sale) listings,Original AHIL data: Average Rent from zip codes (2025),Original AHIL data: Average Home Price from zip codes (2025),Affordability rank - % of listings for rent that are affordable at 100% of 2023 AMI,Affordability rank - % of rental listings affordable at 60% AMI based on 2025 ARO rent limit for each number of bedrooms,Affordability rank - Median monthly rent in late July 2025,Affordability rank - AHIL average rent from zip codes (2025),Affordability rank - % of listings for sale that are affordable at 100% of 2023 AMI,Affordability rank - % of for sale listings affordable at 60% AMI based on 2025 ARO rent limit for each number of bedrooms,Affordability rank - median for sale price in late July 2025,Affordability rank - AHIL average home price from zip codes (2025),Affordability rank - % of rental and for sale listings affordable at 60% of AMI based on 2025 ARO rent limit for each number of bedrooms,Average affordability rank,Difference between AHIL rent rank and new rank,Notes and references:,https://www.chicago.gov/content/dam/city/sites/affordable-requirements-ordinance/2025%20Income%20and%20Rent%20Limits.pdf,https://data.cityofchicago.org/Facilities-Geographic-Boundaries/Boundaries-Wards-2023-Map/cdf7-bgn3,Created hand drawn boundaries for each ward.,Manually determined medians using website's price filters.,"Used the rent limits that assume landlords pay utilities, so this makes areas where landlords don't pay utilities (ie non downtown areas) look more affordable than they are.","All data is from Zillow, 7/25-27/2025",Excluded land/empty lots but not multifamily buildings (generally multifamily buildings for sale have >5 bedrooms anyway),Excluded rentals that are just a room.
"Wicker Park, Logan Square",1,https://www.zillow.com/homes/for_rent/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-87.73923197822329%2C%22east%22%3A-87.63881007270571%2C%22south%22%3A41.88710608625369%2C%22north%22%3A41.939352997560974%7D%2C%22filterState%22%3A%7B%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22price%22%3A%7B%22max%22%3Anull%7D%2C%22mp%22%3A%7B%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A14%2C%22usersSearchTerm%22%3A%22%22%2C%22customRegionId%22%3A%22272ae6873dX1-CR1g9rr5etprxhu_10oe5p%22%7D,486,2500,62,0,32,0,118,2,207,2,96,0,30,0,3,0,108,"700,000",6650,0,0,0,0,3,0,32,0,28,0,16,0,6,0,4,486,0.82%,12.76%,0.00%,0,85,0.00%,0.00%,0.00%,4,571,0.70%,10.44%,0.00%,,1.965020576,1.5,0,2.882352941,#DIV/0!,23,81.82%,2184,"531,903",45,47,44,43,46,37,47,49,48,45.11111111,5,,,,,,,,,
"Gold Coast, Streeterville",2,https://www.zillow.com/homes/for_rent/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-87.67639813423742%2C%22east%22%3A-87.60163960457433%2C%22south%22%3A41.88005757411453%2C%22north%22%3A41.93224639985396%7D%2C%22mapZoom%22%3A14%2C%22filterState%22%3A%7B%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22customRegionId%22%3A%223cb5668758X1-CRfc90q0b18vdp_166g8p%22%7D,906,2795,64,1,256,5,406,0,201,0,38,0,4,0,1,0,382,"580,000",6860,2,1,21,0,116,0,110,0,88,0,25,0,12,0,5,906,0.55%,7.06%,0.11%,0,372,0.00%,0.52%,0.26%,5,1278,0.39%,5.12%,0.16%,,1.040838852,0,0,2.043010753,#DIV/0!,10,70.34%,2573,"390,621",48,48,46,49,44,37,41,40,49,44.66666667,0,,,,,,,,,
"South Loop, Bronzeville",3,https://www.zillow.com/homes/for_rent/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-87.6694444600349%2C%22east%22%3A-87.51838244831615%2C%22south%22%3A41.790562007401846%2C%22north%22%3A41.874850790896765%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22paymentd%22%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A13%2C%22customRegionId%22%3A%22e607b687c1X1-CR19l93lf1jwzdd_tf4fq%22%2C%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22%22%7D,523,2595,90,14,29,2,186,8,186,17,85,6,35,23,2,0,219,"389,900",4020,12,3,1,0,34,1,106,2,40,4,11,0,10,1,56,523,10.71%,17.21%,2.68%,8,202,3.96%,5.48%,1.37%,64,725,8.83%,13.75%,2.29%,,1.841300191,2.714285714,0,2.277227723,2.75,17,70.49%,1807,"275,583",44,38,45,34,32,25,26,23,36,33.66666667,2,,,,,,,,,
"Printer's Row, Kenwood, Prairie Shores",4,https://www.zillow.com/homes/for_rent/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-87.65884046718438%2C%22east%22%3A-87.54520063564141%2C%22south%22%3A41.78009336001287%2C%22north%22%3A41.899414690904095%7D%2C%22mapZoom%22%3A13%2C%22customRegionId%22%3A%2234a2b687c5X1-CR1if92ez4dh1c8_wqir6%22%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22paymentd%22%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22usersSearchTerm%22%3A%22%22%7D,881,1892,434,24,119,38,328,71,312,61,92,3,23,4,7,1,173,"380,000",4100,12,0,6,0,19,0,61,1,38,3,26,0,12,0,178,881,20.20%,49.26%,2.72%,4,162,2.47%,6.94%,0.00%,182,1043,17.45%,42.31%,2.28%,,1.538024972,1.252808989,0,2.586419753,2.75,11,83.59%,1947,"293,660",29,29,29,39,27,28,24,28,26,28.77777778,-13,,,,,,,,,
"Hyde Park, Jackson Park Highlands",5,https://www.zillow.com/homes/for_rent/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-87.62090408785834%2C%22east%22%3A-87.55412781222357%2C%22south%22%3A41.74879493363864%2C%22north%22%3A41.82137047969718%7D%2C%22mapZoom%22%3A14%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22paymentd%22%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22customRegionId%22%3A%222f9ba687bcX1-CR1ifagax16rrig_wqir6%22%7D,832,1925,376,79,162,93,269,40,249,34,119,16,30,1,3,0,136,"197,000",2620,40,11,1,0,27,5,43,10,39,6,14,3,5,0,184,832,22.12%,45.19%,9.50%,24,129,18.60%,29.41%,8.09%,208,961,21.64%,42.98%,9.30%,,1.513221154,0.8695652174,0,2.410852713,2.291666667,7,85.95%,1450,"189,820",33,24,31,12,8,15,3,9,23,17.55555556,11,,,,,,,,,
"Chatham, Greater Grand Crossing",6,https://www.zillow.com/homes/for_rent/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-87.65261852725043%2C%22east%22%3A-87.58850300295843%2C%22south%22%3A41.71298893078888%2C%22north%22%3A41.78560497042888%7D%2C%22mapZoom%22%3A14%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22paymentd%22%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22customRegionId%22%3A%228a0336879dX1-CR1psmajy2iv6nb_130oam%22%7D,164,1500,141,32,5,5,36,28,63,48,50,37,8,1,2,0,137,"255,000",2330,40,21,0,0,0,0,2,2,27,12,51,18,25,10,119,164,72.56%,85.98%,19.51%,42,105,40.00%,29.20%,15.33%,161,269,59.85%,60.13%,17.61%,,2.158536585,2.008403361,0,3.942857143,3.857142857,32,54.49%,1345,"154,511",5,8,9,4,9,8,11,3,6,7,2,,,,,,,,,
"South Shore, South Chicago, Calumet Heights",7,https://www.zillow.com/homes/for_rent/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-87.59230816173466%2C%22east%22%3A-87.52819263744267%2C%22south%22%3A41.700098582402674%2C%22north%22%3A41.776185744663316%7D%2C%22mapZoom%22%3A14%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22paymentd%22%7D%2C%22price%22%3A%7B%22min%22%3Anull%7D%2C%22mp%22%3A%7B%22min%22%3Anull%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22customRegionId%22%3A%22fe6d968787X1-CR1sr49z6afpqhs_xa6p4%22%7D,284,1400,252,67,6,5,70,62,109,82,81,67,12,9,6,2,136,"195,000",1790,74,32,0,0,13,13,12,9,36,26,28,14,20,10,227,284,79.93%,88.73%,23.59%,72,109,66.06%,54.41%,23.53%,299,393,76.08%,77.62%,23.57%,,2.144366197,2.083700441,0,3.275229358,2.986111111,27,67.62%,1340,"152,301",4,5,3,3,2,2,1,2,2,2.666666667,-1,,,,,,,,,
"Avalon Park, East Chatham",8,https://www.zillow.com/homes/for_rent/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-87.62017452700628%2C%22east%22%3A-87.55605900271429%2C%22south%22%3A41.70171135348562%2C%22north%22%3A41.774340141256154%7D%2C%22mapZoom%22%3A14%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22paymentd%22%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22customRegionId%22%3A%22eb7bc6879cX1-CR1e90hadpkpqi_1393o7%22%7D,156,1450,129,36,7,6,33,27,66,44,31,16,16,7,2,0,160,"240,000",2200,61,27,0,0,0,0,18,16,47,21,60,21,20,5,100,155,64.52%,82.69%,23.08%,63,145,43.45%,38.13%,16.88%,163,300,54.33%,60.13%,19.94%,,2.141935484,1.91,1,3.565517241,3.238095238,15,49.37%,1361,"157,244",8,12,6,5,6,7,8,5,10,7.444444444,5,,,,,,,,,
"Roseland, Pullman",9,https://www.zillow.com/homes/for_rent/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-87.68564903545293%2C%22east%22%3A-87.55724632549199%2C%22south%22%3A41.639717613635696%2C%22north%22%3A41.74444449235115%7D%2C%22mapZoom%22%3A13%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22paymentd%22%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22customRegionId%22%3A%22fe12568786X1-CR1sr49z6ah5so0_xa6p4%22%7D,87,1500,59,12,1,1,16,13,29,27,25,11,15,3,1,1,156,"195,000",1790,86,41,0,0,1,1,14,11,45,29,52,28,25,13,56,87,64.37%,67.82%,13.79%,82,137,59.85%,55.13%,26.28%,138,224,61.61%,59.67%,21.81%,,2.459770115,2.089285714,0,3.627737226,3.5,19,35.80%,1536,"145,143",14,13,11,18,1,3,2,1,5,7.555555556,-13,,,,,,,,,
"Hegewisch, East Side, South Deering",10,https://www.zillow.com/homes/for_rent/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-87.64118873882207%2C%22east%22%3A-87.49132835674199%2C%22south%22%3A41.63343114534296%2C%22north%22%3A41.7573793013991%7D%2C%22mapZoom%22%3A13%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22paymentd%22%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22price%22%3A%7B%22min%22%3Anull%7D%2C%22mp%22%3A%7B%22min%22%3Anull%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22customRegionId%22%3A%228460268787X1-CR1s4jq9hj2tx2_15ldqn%22%7D,64,1425,53,11,0,0,9,9,25,19,23,20,4,2,2,0,107,"239,900",2200,35,15,0,0,0,0,7,4,33,9,35,16,16,7,50,63,79.37%,82.81%,17.19%,36,91,39.56%,32.71%,14.02%,86,154,55.84%,51.46%,15.20%,,2.444444444,2.3,1,3.659340659,3.722222222,16,37.43%,1457,"170,928",7,6,5,13,7,9,7,7,9,7.777777778,-4,,,,,,,,,
