Neighborhood names,Ward,"Zillow link (boundary is text after ""customRegionId""%3A"""")",Number of listings for rent,Median monthly rent,"Number of listings for rent that are affordable at 100% of 2024 AMI (monthly rent up to $1948, based on 30% of $77,902 [ACS income data])","Number of listings for rent that are affordable at 60% of 2024 AMI (monthly rent up to $1169, based on 60% of 30% of $77,902)",Number of Rental Listings: Studio,Number of Rental Listings affordable at 60% AMI based on 2026 ARO rent limit for this number of bedrooms: Studio (rent <=$1276),Number of Rental Listings: 1 bedroom,Number of Rental Listings affordable at 60% AMI based on 2026 ARO rent limit for this number of bedrooms: 1 bedroom (rent <=$1367),Number of Rental Listings: 2 bedroom,Number of Rental Listings affordable at 60% AMI based on 2026 ARO rent limit for this number of bedrooms: 2 bedroom (rent <=$1641),Number of Rental Listings: 3 bedroom,Number of Rental Listings affordable at 60% AMI based on 2026 ARO rent limit for this number of bedrooms: 3 bedroom (rent <=$1896),Number of Rental Listings: 4 bedroom,Number of Rental Listings affordable at 60% AMI based on 2026 ARO rent limit for this number of bedrooms: 4 bedroom (rent <=$2115),Number of Rental Listings: 5 bedroom,Number of Rental Listings affordable at 60% AMI based on 2025 ARO rent limit for this number of bedrooms: 5 bedroom (rent <=$2333),Number of listings for sale,Median for sale price,Median for sale monthly payment with no money down and any credit score,"Number of listings for sale that are affordable at 100% of 2024 AMI (monthly payment up to $1948, based on 30% of $77,902)","Number of listings for sale that are affordable at 60% of 2024 AMI (monthly payment up to $1169, based on 60% of 30% of $77,902)",Number of For Sale Listings: Studio,Number of For Sale Listings affordable at 60% AMI based on 2026 ARO rent limit for this number of bedrooms: Studio (monthly payment <=$1276),Number of For Sale Listings: 1 bedroom,Number of For Sale Listings affordable at 60% AMI based on 2026 ARO rent limit for this number of bedrooms: 1 bedroom (monthly payment <=$1367),Number of For Sale Listings: 2 bedroom,Number of For Sale Listings affordable at 60% AMI based on 2026 ARO rent limit for this number of bedrooms: 2 bedroom (monthly payment <=$1641),Number of For Sale Listings: 3 bedroom,Number of For Sale Listings affordable at 60% AMI based on 2026 ARO rent limit for this number of bedrooms: 3 bedroom (monthly payment <=$1896),Number of For Sale Listings: 4 bedroom,Number of For Sale Listings affordable at 60% AMI based on 2026 ARO rent limit for this number of bedrooms: 4 bedroom (monthly payment <=$2115),Number of For Sale Listings: 5 bedroom,Number of For Sale Listings affordable at 60% AMI based on 2026 ARO rent limit for this number of bedrooms: 5 bedroom (monthly payment <=$2333),"Total rental listings affordable at 60% AMI based on 2026 ARO rent limit for each number of bedrooms ($1276 for studio, $1367 for 1br, $1641 for 2br, $1896 for 3br, $2115 for 4br, and $2333 for 5br)",Total rental listings with 0-5 bedrooms,"% of rental listings affordable at 60% AMI based on 2026 ARO rent limit for each number of bedrooms ($1276 for studio, $1367 for 1br, $1641 for 2br, $1896 for 3br, $2115 for 4br, and $2333 for 5br)","% of listings for rent that are affordable at 100% of 2024 AMI (monthly rent up to $1948, based on 30% of $77,902 [ACS income data])","% of listings for rent that are affordable at 60% of 2024 AMI (monthly rent up to $1169, based on 60% of 30% of $77,902)","Total for sale listings affordable at 60% AMI based on 2026 ARO rent limit for each number of bedrooms ($1276 for studio, $1367 for 1br, $1641 for 2br, $1896 for 3br, $2115 for 4br, and $2333 for 5br)",Total for sale listings with 0-5 bedrooms,"% of for sale listings affordable at 60% AMI based on 2026 ARO rent limit for each number of bedrooms ($1276 for studio, $1367 for 1br, $1641 for 2br, $1896 for 3br, $2115 for 4br, and $2333 for 5br)","% of listings for sale that are affordable at 100% of 2024 AMI (monthly rent up to $1948, based on 30% of $77,902 [ACS income data])","% of listings for sale that are affordable at 60% of 2024 AMI (monthly rent up to $1169, based on 60% of 30% of $77,902)","Total rental and for sale listings affordable at 60% AMI based on 2026 ARO rent limit for each number of bedrooms ($1276 for studio, $1367 for 1br, $1641 for 2br, $1896 for 3br, $2115 for 4br, and $2333 for 5br)",Total rental and for sale listings with 0-5 bedrooms,"% of rental and for sale listings affordable at 60% AMI based on 2026 ARO rent limit for each number of bedrooms ($1276 for studio, $1367 for 1br, $1641 for 2br, $1896 for 3br, $2115 for 4br, and $2333 for 5br)","% of listings for rent and for sale that are affordable at 100% of 2024 AMI (monthly rent up to $1948, based on 30% of $77,902 [ACS income data])","% of listings for rent and for sale that are affordable at 60% of 2024 AMI (monthly rent up to $1169, based on 60% of 30% of $77,902)",Additional metrics:,Rental average bedroom count,Rental average bedroom count in units affordable at 60% AMI based on 2026 ARO rent limit for each unit size,Difference between total rental units listed and number of 0+1+2+3+4+5 br units,For sale average bedroom count,For sale average bedroom count in units affordable at 60% AMI based on 2026 ARO rent limit for each unit size,Difference between total for sale units listed and number of 0+1+2+3+4+5 br units,Zillow ratio of rental listings to total (rental plus for sale) listings,Original AHIL data: Average Rent from zip codes,Original AHIL data: Average Home Price from zip codes,Affordability rank - % of listings for rent that are affordable at 100% of 2024 AMI,Affordability rank - % of rental listings affordable at 60% AMI based on 2026 ARO rent limit for each number of bedrooms,Affordability rank - Median monthly rent in late July 2026,Affordability rank - AHIL average rent from zip codes,Affordability rank - % of listings for sale that are affordable at 100% of 2024 AMI,Affordability rank - % of for sale listings affordable at 60% AMI based on 2026 ARO rent limit for each number of bedrooms,Affordability rank - median for sale price in late July 2026,Affordability rank - AHIL average home price from zip codes,Affordability rank - % of rental and for sale listings affordable at 60% of AMI based on 2026 ARO rent limit for each number of bedrooms,Average affordability rank,Difference between AHIL rent rank and new rank,Notes and references:,https://www.chicago.gov/content/dam/city/sites/affordable-requirements-ordinance/2026%20Income%20and%20Rent%20Limits%20-%20final.pdf,https://data.cityofchicago.org/Facilities-Geographic-Boundaries/Boundaries-Wards-2023-Map/cdf7-bgn3,Created hand drawn boundaries for each ward.,Manually determined medians using website's price filters.,"Used the rent limits that assume landlords pay utilities, so this makes areas where landlords don't pay utilities (ie non downtown areas) look more affordable than they are.","All data is from Zillow, 7/25-28/2026",Excluded land/empty lots but not multifamily buildings (generally multifamily buildings for sale have >5 bedrooms anyway),Excluded rentals that are just a room.,Interest rates?
"Wicker Park, Logan Square",1,https://www.zillow.com/homes/for_rent/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-87.73923197822329%2C%22east%22%3A-87.63881007270571%2C%22south%22%3A41.88710608625369%2C%22north%22%3A41.939352997560974%7D%2C%22filterState%22%3A%7B%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22price%22%3A%7B%22max%22%3Anull%7D%2C%22mp%22%3A%7B%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A14%2C%22usersSearchTerm%22%3A%22%22%2C%22customRegionId%22%3A%22272ae6873dX1-CR1g9rr5etprxhu_10oe5p%22%7D,442,2795,41,0,28,1,108,0,183,3,91,0,28,1,4,0,92,"770,000",7295,1,0,0,0,5,0,28,1,23,0,12,0,6,0,5,442,1.13%,9.28%,0.00%,1,74,1.35%,1.09%,0.00%,6,516,1.16%,7.87%,0.00%,,1.988687783,2,0,2.810810811,2,18,82.77%,2184,"531,903",45,46,45,43,43,39,47,49,46,44.77777778,3,,,,,,,,,,
"Gold Coast, Streeterville",2,https://www.zillow.com/homes/for_rent/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-87.67639813423742%2C%22east%22%3A-87.60163960457433%2C%22south%22%3A41.88005757411453%2C%22north%22%3A41.93224639985396%7D%2C%22mapZoom%22%3A14%2C%22filterState%22%3A%7B%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22customRegionId%22%3A%223cb5668758X1-CRfc90q0b18vdp_166g8p%22%7D,1209,2876,82,1,359,2,547,0,244,0,52,0,7,0,0,0,313,"610,000",7006,2,0,19,0,79,0,104,0,77,0,18,0,6,0,2,1209,0.17%,6.78%,0.08%,0,303,0.00%,0.64%,0.00%,2,1512,0.13%,5.52%,0.07%,,1.008271299,0,0,2.04620462,#DIV/0!,10,79.43%,2573,"390,621",49,49,47,49,46,47,43,40,49,46.55555556,0,,,,,,,,,,
"South Loop, Bronzeville",3,https://www.zillow.com/homes/for_rent/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-87.6694444600349%2C%22east%22%3A-87.51838244831615%2C%22south%22%3A41.790562007401846%2C%22north%22%3A41.874850790896765%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22paymentd%22%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A13%2C%22customRegionId%22%3A%22e607b687c1X1-CR19l93lf1jwzdd_tf4fq%22%2C%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22%22%7D,485,2600,83,15,24,4,190,14,166,21,80,16,22,4,3,2,186,"399,900",4135,13,7,0,0,32,0,67,1,41,4,14,0,6,0,61,485,12.58%,17.11%,3.09%,5,160,3.13%,6.99%,3.76%,66,645,10.23%,14.31%,3.28%,,1.783505155,2.131147541,0,2.34375,2.8,26,72.28%,1807,"275,583",44,27,44,34,32,32,26,23,28,32.22222222,-6,,,,,,,,,,
"Printer's Row, Kenwood, Prairie Shores",4,https://www.zillow.com/homes/for_rent/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-87.65884046718438%2C%22east%22%3A-87.54520063564141%2C%22south%22%3A41.78009336001287%2C%22north%22%3A41.899414690904095%7D%2C%22mapZoom%22%3A13%2C%22customRegionId%22%3A%2234a2b687c5X1-CR1if92ez4dh1c8_wqir6%22%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22paymentd%22%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22usersSearchTerm%22%3A%22%22%7D,960,1870,495,34,201,71,372,77,272,35,85,13,22,8,5,0,131,"340,000",3711,24,5,8,0,29,2,26,4,35,2,17,0,5,0,204,957,21.32%,51.56%,3.54%,8,120,6.67%,18.32%,3.82%,212,1077,19.68%,47.57%,3.57%,,1.34169279,1.068627451,3,2.325,2,11,87.99%,1947,"293,660",24,22,24,39,19,27,16,28,21,24.44444444,-18,,,,,,,,,,
"Hyde Park, Jackson Park Highlands",5,https://www.zillow.com/homes/for_rent/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-87.62090408785834%2C%22east%22%3A-87.55412781222357%2C%22south%22%3A41.74879493363864%2C%22north%22%3A41.82137047969718%7D%2C%22mapZoom%22%3A14%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22paymentd%22%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22customRegionId%22%3A%222f9ba687bcX1-CR1ifagax16rrig_wqir6%22%7D,890,2023,368,57,143,60,209,34,316,38,152,27,59,5,10,0,124,"216,000",2705,31,9,4,0,19,2,37,5,33,6,17,3,6,1,164,889,18.45%,41.35%,6.40%,17,116,14.66%,25.00%,7.26%,181,1005,18.01%,39.35%,6.51%,,1.780652418,1.286585366,1,2.5,2.764705882,8,87.77%,1450,"189,820",34,24,33,12,15,17,3,9,24,19,12,,,,,,,,,,
"Chatham, Greater Grand Crossing",6,https://www.zillow.com/homes/for_rent/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-87.65261852725043%2C%22east%22%3A-87.58850300295843%2C%22south%22%3A41.71298893078888%2C%22north%22%3A41.78560497042888%7D%2C%22mapZoom%22%3A14%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22paymentd%22%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22customRegionId%22%3A%228a0336879dX1-CR1psmajy2iv6nb_130oam%22%7D,389,1550,331,49,9,6,77,59,176,103,108,80,13,8,4,2,159,"255,900",2277,61,36,0,0,0,0,9,4,28,16,53,23,25,12,258,387,66.67%,85.09%,12.60%,55,115,47.83%,38.36%,22.64%,313,502,62.35%,71.53%,15.51%,,2.131782946,2.120155039,2,3.817391304,3.781818182,44,70.99%,1345,"154,511",3,6,10,4,9,8,8,3,5,6.222222222,1,,,,,,,,,,
"South Shore, South Chicago, Calumet Heights",7,https://www.zillow.com/homes/for_rent/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-87.59230816173466%2C%22east%22%3A-87.52819263744267%2C%22south%22%3A41.700098582402674%2C%22north%22%3A41.776185744663316%7D%2C%22mapZoom%22%3A14%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22paymentd%22%7D%2C%22price%22%3A%7B%22min%22%3Anull%7D%2C%22mp%22%3A%7B%22min%22%3Anull%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22customRegionId%22%3A%22fe6d968787X1-CR1sr49z6afpqhs_xa6p4%22%7D,373,1405,313,105,13,11,86,66,174,116,70,46,26,13,3,0,162,"199,450",1658,94,57,4,4,11,11,23,13,42,30,29,18,18,10,252,372,67.74%,83.91%,28.15%,86,127,67.72%,58.02%,35.19%,338,499,67.74%,76.07%,30.28%,,2.051075269,1.936507937,1,3.062992126,2.895348837,35,69.72%,1340,"152,301",6,5,3,3,2,1,2,2,2,2.888888889,-1,,,,,,,,,,
"Avalon Park, East Chatham",8,https://www.zillow.com/homes/for_rent/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-87.62017452700628%2C%22east%22%3A-87.55605900271429%2C%22south%22%3A41.70171135348562%2C%22north%22%3A41.774340141256154%7D%2C%22mapZoom%22%3A14%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22paymentd%22%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22customRegionId%22%3A%22eb7bc6879cX1-CR1e90hadpkpqi_1393o7%22%7D,310,1400,254,79,13,6,77,64,147,96,53,31,17,6,2,0,123,"245,000",1998,59,41,0,0,2,2,21,19,32,20,36,16,17,3,203,309,65.70%,81.94%,25.48%,60,108,55.56%,47.97%,33.33%,263,417,63.07%,72.29%,27.71%,,1.96763754,1.837438424,1,3.416666667,2.983333333,15,71.59%,1361,"157,244",7,7,2,5,4,5,6,5,4,5,-1,,,,,,,,,,
"Roseland, Pullman",9,https://www.zillow.com/homes/for_rent/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-87.68564903545293%2C%22east%22%3A-87.55724632549199%2C%22south%22%3A41.639717613635696%2C%22north%22%3A41.74444449235115%7D%2C%22mapZoom%22%3A13%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22paymentd%22%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22customRegionId%22%3A%22fe12568786X1-CR1sr49z6ah5so0_xa6p4%22%7D,154,1573,97,21,3,3,21,17,54,45,39,16,22,3,12,1,158,"176,350",1472,104,58,0,0,0,0,17,11,55,43,43,25,25,15,85,151,56.29%,62.99%,13.64%,94,140,67.14%,65.82%,36.71%,179,291,61.51%,64.42%,25.32%,,2.609271523,2.023529412,3,3.542857143,3.468085106,18,49.36%,1536,"145,143",15,11,11,18,1,2,1,1,7,7.444444444,-11,,,,,,,,,,
"Hegewisch, East Side, South Deering",10,https://www.zillow.com/homes/for_rent/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-87.64118873882207%2C%22east%22%3A-87.49132835674199%2C%22south%22%3A41.63343114534296%2C%22north%22%3A41.7573793013991%7D%2C%22mapZoom%22%3A13%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22paymentd%22%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22price%22%3A%7B%22min%22%3Anull%7D%2C%22mp%22%3A%7B%22min%22%3Anull%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22customRegionId%22%3A%228460268787X1-CR1s4jq9hj2tx2_15ldqn%22%7D,93,1420,75,19,4,2,5,5,47,35,29,21,8,4,0,0,98,"240,650",2040,46,17,0,0,0,0,7,6,35,18,23,9,11,4,67,93,72.04%,80.65%,20.43%,37,76,48.68%,46.94%,17.35%,104,169,61.54%,63.35%,18.85%,,2.344086022,2.298507463,0,3.5,3.297297297,22,48.69%,1457,"170,928",8,3,4,13,5,7,5,7,6,6.444444444,-7,,,,,,,,,,
